12 34 23.2341,-23 23 47.843,2.65,0.893
01 25 48.6030,60 14 07.452,2.66,0.16
13 54 41.1162,18 23 54.915,2.68,0.58
14 58 31.9541,-43 08 01.921,2.68,-0.184
12 37 11.0837,-69 08 07.921,2.69,-0.176
10 46 46.1221,-49 25 12.451,2.69,0.901
04 56 59.6162,33 09 58.087,2.69,1.49
17 30 45.8388,-37 17 44.665,2.7,-0.179
07 17 08.5642,-37 05 50.953,2.71,1.616
19 46 15.5702,10 36 47.767,2.72,1.507
18 20 59.6216,-29 49 40.941,2.72,1.38
16 23 59.5069,61 30 50.671,2.73,0.91
16 14 20.7662,-03 41 38.312,2.73,1.584
12 41 40.0021,-01 26 58.280,2.74,0.368
10 42 57.4267,-64 23 40.126,2.74,-0.22
05 35 25.9811,-05 54 35.639,2.75,-0.21
13 20 36.0656,-36 42 43.492,2.75,0.068
14 50 52.7773,-16 02 29.798,2.75,0.147
17 43 28.3769,04 34 00.901,2.76,1.168
17 14 38.8624,14 23 24.911,2.78,1.164
05 07 51.0340,-05 05 10.546,2.78,0.161
16 30 13.2617,21 29 22.735,2.78,0.947
17 30 25.9769,52 18 04.892,2.79,0.954
12 15 08.7570,-58 44 56.046,2.79,-0.193
15 35 08.4604,-41 10 00.102,2.8,-0.216
16 41 17.4771,31 36 06.793,2.81,0.65
05 28 14.7263,-20 45 33.236,2.81,0.807
00 25 39.2020,-77 15 18.126,2.82,0.618
16 35 52.9594,-28 12 57.462,2.82,-0.206
18 27 58.2695,-25 25 16.490,2.82,1.025
00 13 14.1500,15 11 01.017,2.83,-0.19
15 55 08.8080,-63 25 47.099,2.83,0.315
08 07 32.7022,-24 18 15.972,2.83,0.458
17 25 17.9972,-55 31 47.366,2.84,1.479
17 31 50.5216,-49 52 33.534,2.84,-0.136
03 54 07.9185,31 53 01.168,2.84,0.271
13 02 10.7605,10 57 32.767,2.85,0.934
21 47 02.2853,-16 07 35.637,2.85,0.18
03 47 29.0642,24 06 18.871,2.85,-0.086
01 58 45.8718,-61 34 11.728,2.86,0.29
19 44 58.4421,45 07 50.491,2.86,-0.002
22 18 30.1782,-60 15 34.181,2.87,1.39
06 22 57.5911,22 30 49.861,2.87,1.621
15 18 54.6888,-68 40 46.082,2.87,0.014
19 09 45.8338,-21 01 24.691,2.88,0.377
02 58 15.7156,-40 18 17.046,2.88,0.128
07 27 09.0723,08 17 21.872,2.89,-0.097
12 56 01.8409,38 19 05.686,2.89,-0.115
15 58 51.1207,-26 06 50.554,2.89,-0.18
21 31 33.5207,-05 34 16.161,2.9,0.828
16 21 11.3225,-25 35 33.909,2.9,0.299
03 57 51.2211,40 00 36.983,2.9,-0.199
03 04 47.7902,53 30 23.221,2.91,0.716
09 47 06.1376,-65 04 19.268,2.92,0.273
22 43 00.1286,30 13 16.711,2.93,0.852
12 29 51.9832,-16 30 54.338,2.94,-0.012
06 49 56.1368,-50 36 51.839,2.94,1.207
22 05 47.0253,-00 19 11.376,2.95,0.969
03 58 01.7301,-13 30 29.681,2.97,1.588
09 45 51.1024,23 46 27.401,2.97,0.808
05 37 38.6843,21 08 33.335,2.97,-0.148
18 05 48.5246,-30 25 25.140,2.98,0.981
19 05 24.6124,13 51 49.355,2.99,0.014
17 47 35.0811,-40 07 37.135,2.99,0.509
13 18 55.2534,-23 10 17.085,2.99,0.92
16 51 52.2389,-38 02 50.378,3,-0.2
21 53 55.6541,-37 21 53.362,3,-0.084
02 09 32.5209,34 59 14.611,3,0.14
15 20 43.7492,71 50 02.303,3,0.058
11 09 39.8594,44 29 54.792,3,1.144
03 42 55.4821,47 47 15.552,3.01,-0.125
06 20 18.7872,-30 03 48.156,3.02,-0.16
07 03 01.4736,-23 49 59.885,3.02,-0.077
12 10 07.5259,-22 37 11.252,3.02,1.326
05 01 58.1340,43 49 23.930,3.03,0.537
12 46 16.8696,-68 06 29.139,3.04,-0.178
14 32 04.7578,38 18 28.381,3.04,0.191
19 30 43.2853,27 57 34.901,3.05,1.088
20 21 00.6464,-14 46 53.044,3.05,0.79
06 43 55.9298,25 07 52.159,3.06,1.377
10 22 19.8033,41 29 57.961,3.06,1.603
19 12 33.1550,67 39 40.741,3.07,0.99
18 17 37.7292,-36 45 40.612,3.1,1.582
10 49 37.4321,-16 11 38.875,3.11,1.232
08 55 23.6848,05 56 43.900,3.11,0.978
11 35 46.9283,-63 01 11.370,3.11,-0.044
20 37 33.9897,-47 17 29.985,3.11,0.998
16 58 37.2308,-55 59 24.198,3.12,1.552
17 15 01.9242,24 50 22.515,3.12,0.08
05 50 57.5528,-35 46 09.452,3.12,1.146
08 59 12.8387,48 02 32.458,3.12,0.223
14 59 09.6990,-42 06 14.911,3.13,-0.208
09 21 03.4588,34 23 33.093,3.14,1.55
09 31 13.3538,-57 02 03.810,3.16,1.538
17 15 02.8543,36 48 32.959,3.16,1.437
09 32 52.3253,51 40 42.967,3.17,0.475
17 08 47.2251,65 42 52.692,3.17,-0.12
06 37 45.6717,-43 11 45.326,3.17,-0.103
18 45 39.3530,-26 59 26.806,3.17,-0.107
05 06 30.8690,41 14 04.707,3.18,-0.148
14 42 30.6850,-64 58 28.450,3.18,0.256
16 57 40.2706,09 22 30.203,3.19,1.16
04 49 50.1382,06 57 40.491,3.19,0.484
17 49 51.4512,-37 02 36.136,3.19,1.192
05 05 27.6521,-22 22 15.084,3.19,1.46
21 12 56.1815,30 13 37.493,3.21,0.99
23 39 20.9820,77 37 55.081,3.21,1.031
15 21 22.3364,-40 38 50.854,3.22,-0.227
16 18 19.2408,-04 41 33.389,3.23,0.966
18 21 18.9206,-02 53 49.639,3.23,0.941
21 28 39.5750,70 33 38.501,3.23,-0.201
20 11 18.2648,-00 49 17.312,3.24,-0.066
06 48 11.5371,-61 56 31.128,3.24,0.225
15 04 04.2619,-25 16 54.682,3.25,1.674
07 29 13.8783,-43 18 06.809,3.25,1.509
18 58 56.6246,32 41 22.391,3.25,-0.049
14 06 22.2690,-26 40 55.268,3.25,1.091
03 47 14.2315,-74 14 21.273,3.26,1.59
00 39 19.5974,30 51 40.413,3.27,1.268
17 22 00.5841,-24 59 58.157,3.27,-0.186
22 54 39.0392,-15 49 14.736,3.27,0.066
05 12 55.8731,-16 12 19.544,3.29,-0.11
15 24 55.7841,58 57 57.685,3.29,1.166
10 13 44.2789,-70 02 16.518,3.29,-0.074
10 32 01.4838,-61 41 07.297,3.3,-0.089
04 33 59.7184,-55 02 42.020,3.3,-0.079
06 14 52.6967,22 30 24.566,3.31,1.6
17 25 23.6599,-56 22 39.678,3.31,-0.15
17 59 01.5976,-09 46 24.059,3.32,0.987
12 15 25.4491,57 01 57.353,3.32,0.077
19 06 56.4423,-27 40 11.331,3.32,1.169
03 05 10.4970,38 50 25.919,3.32,1.528
17 12 09.1759,-43 14 18.565,3.32,0.441
01 06 05.1065,-46 43 06.566,3.32,0.885
11 14 14.4409,15 25 47.147,3.33,-0.003
04 14 25.4311,-62 28 26.324,3.33,0.915
07 49 17.6587,-24 51 35.222,3.34,1.218
08 30 16.0302,60 43 06.352,3.35,0.856
06 45 17.4336,12 53 45.798,3.35,0.443
05 24 28.6171,-02 23 49.698,3.35,-0.24
01 54 23.6835,63 40 12.529,3.35,-0.15
19 25 29.7527,03 06 52.485,3.36,0.319
15 22 40.8875,-44 41 22.463,3.37,-0.191
08 46 46.6462,06 25 08.065,3.38,0.685
13 34 41.7547,-00 35 45.378,3.38,0.114
22 10 51.2619,58 12 04.500,3.39,1.558
10 17 05.0053,-61 19 56.351,3.39,1.541
05 35 08.2777,09 56 02.987,3.39,-0.16
12 55 36.4833,03 23 51.355,3.39,1.571
04 28 39.6749,15 52 15.408,3.4,0.179
15 12 17.2032,-52 05 56.669,3.41,0.918
04 00 40.8206,12 29 25.353,3.41,-0.099
22 41 27.6748,10 49 53.008,3.41,-0.086
13 49 30.2974,-41 41 15.575,3.41,-0.225
20 45 17.2686,61 50 12.459,3.41,0.912
01 28 21.9417,-43 19 03.825,3.41,1.542
20 44 57.5557,-66 12 11.658,3.42,0.163
01 53 04.8998,29 34 45.830,3.42,0.488
17 46 27.7189,27 43 20.997,3.42,0.75
16 00 07.3405,-38 23 47.907,3.42,-0.206
19 06 14.9499,-04 52 56.404,3.43,-0.096
10 16 41.4043,23 25 02.382,3.43,0.307
09 10 58.1053,-58 58 00.949,3.43,-0.19
10 17 05.9270,42 54 52.087,3.45,0.029
01 08 35.2637,-10 10 54.941,3.46,1.161
07 56 46.7417,-52 58 56.642,3.46,-0.177
15 15 30.1038,33 18 54.368,3.46,0.961
00 49 05.1006,57 48 59.572,3.46,0.587
02 43 18.1246,03 14 10.218,3.47,0.093
13 49 37.0078,-42 28 25.266,3.47,-0.17
10 07 19.9535,16 45 45.597,3.48,-0.031
16 42 53.7386,38 55 20.860,3.48,0.916
11 18 28.7553,33 05 39.260,3.49,1.4
22 48 33.1971,-51 19 00.133,3.49,0.083
18 26 58.4303,-45 58 05.985,3.49,-0.179
01 44 05.1275,-15 56 22.401,3.49,0.727
15 01 56.7931,40 23 26.292,3.49,0.956
07 01 43.1517,-27 56 05.430,3.49,1.729
07 20 07.3893,21 58 56.422,3.5,0.374
06 49 50.4655,-32 30 30.555,3.5,-0.116
22 49 40.9122,66 12 02.559,3.5,1.053
22 50 00.1003,24 36 06.065,3.51,0.933
19 58 45.3876,19 29 31.534,3.51,1.571
03 43 14.9561,-09 45 54.715,3.52,0.915
09 56 51.7548,-54 34 04.070,3.52,-0.067
09 41 09.1179,09 53 32.636,3.52,0.516
18 57 43.7797,-21 06 23.848,3.52,1.151
18 50 04.7939,33 21 45.640,3.52,0.003
22 10 11.8198,06 11 52.040,3.52,0.086
08 16 30.9482,09 11 08.387,3.53,1.481
04 28 36.9333,19 10 49.875,3.53,1.014
15 49 37.2657,-03 25 48.508,3.54,-0.036
11 33 00.2590,-31 51 27.087,3.54,0.947
17 37 35.2252,-15 23 54.270,3.54,0.262
05 46 57.3497,-14 49 19.010,3.55,0.104
20 08 41.8601,-66 10 45.556,3.55,0.751
14 19 24.2327,-46 03 29.102,3.55,-0.184
04 17 53.6186,-33 47 53.993,3.55,-0.108
18 21 02.3390,72 44 01.311,3.55,0.489
00 19 25.6830,-08 49 25.786,3.56,1.214
02 16 30.5003,-51 30 43.601,3.56,-0.12
11 19 20.5226,-14 46 44.557,3.56,1.112
16 52 20.1535,-38 01 02.920,3.56,-0.21
14 31 49.8578,30 22 16.122,3.57,1.298
09 03 37.5588,47 09 23.974,3.57,0.007
15 21 48.4365,-36 15 40.202,3.57,1.534
07 44 26.8686,24 23 53.265,3.57,0.932
07 18 05.6068,16 32 25.711,3.58,0.106
20 18 03.2185,-12 32 41.492,3.58,0.883
11 50 41.2861,01 45 55.357,3.59,0.518
12 21 21.8113,-60 24 04.932,3.59,1.389
01 37 59.5024,48 37 42.551,3.59,1.275
05 44 27.9750,-22 26 50.952,3.59,0.481
05 17 36.3989,-06 50 39.790,3.59,-0.115
01 24 01.4512,-08 10 57.913,3.6,1.065
17 31 05.9769,-60 41 00.984,3.6,-0.104
09 30 42.1130,-40 28 00.795,3.6,0.371
08 40 17.6092,-52 55 19.101,3.6,-0.168
06 52 47.3401,33 57 40.931,3.6,0.102
15 37 01.4586,-28 08 06.256,3.6,1.361
10 10 35.3971,-12 21 13.821,3.61,1.007
13 02 15.7775,-71 32 55.675,3.61,1.19
17 45 44.0024,-64 43 25.444,3.61,1.161
03 24 48.8376,09 01 44.634,3.61,0.887
02 49 58.9894,27 15 38.846,3.61,-0.1
01 31 28.9939,15 20 44.992,3.62,0.974
16 54 35.1052,-42 21 38.733,3.62,1.393
03 49 09.7312,24 03 12.687,3.62,-0.07
07 45 15.3039,-37 58 06.955,3.62,1.706
23 01 55.2465,42 19 33.523,3.62,-0.099
11 45 36.5673,-66 43 43.836,3.63,0.16
20 37 32.8698,14 35 42.730,3.64,0.425
09 31 31.5697,63 03 42.464,3.65,0.36
22 28 49.8006,-00 01 12.227,3.65,0.406
04 19 47.5339,15 37 39.721,3.65,0.981
18 06 37.8788,-50 05 29.237,3.65,-0.101
15 46 11.2149,15 25 18.934,3.65,0.073
15 27 49.8519,29 06 19.770,3.66,0.319
15 38 39.3844,-29 46 39.682,3.66,-0.177
14 04 23.4260,64 22 32.911,3.67,-0.049
20 54 48.5796,-58 27 14.741,3.67,1.25
04 51 12.3660,05 36 18.365,3.68,-0.157
19 47 23.2652,18 32 03.333,3.68,1.313
08 43 35.5475,-33 11 11.081,3.68,-0.18
23 09 26.7621,-21 10 20.948,3.68,1.202
01 55 56.8325,-51 36 34.512,3.69,0.844
11 46 03.1341,47 46 45.613,3.69,1.181
00 36 58.2670,53 53 48.954,3.69,-0.196
05 02 28.6801,41 04 33.202,3.69,1.154
21 40 05.3422,-16 39 44.112,3.69,0.32
09 45 14.8276,-62 30 28.524,3.69,1.01
23 17 09.4936,03 16 56.083,3.7,0.916
17 57 45.8307,29 14 52.531,3.7,0.935
03 19 30.9697,-21 45 28.592,3.7,1.614
19 55 18.7662,06 24 28.560,3.71,0.855
04 54 15.0956,02 26 26.417,3.71,-0.179
07 52 13.0455,-40 34 32.876,3.71,1.012
15 50 48.8912,04 28 39.287,3.71,0.147
18 07 21.0207,09 33 49.152,3.71,0.159
05 56 24.3183,-14 10 04.937,3.71,0.337
05 59 31.5503,54 17 05.935,3.72,1.01
03 32 56.4216,-09 27 29.901,3.72,0.881
03 44 52.5235,24 06 48.414,3.72,-0.105
21 04 55.8558,43 55 40.264,3.72,1.609
21 41 28.4731,-77 23 22.064,3.73,1.008
22 52 36.8645,-07 34 46.844,3.73,1.626
14 46 14.9918,01 53 34.578,3.73,-0.005
17 53 31.6295,56 52 20.828,3.73,1.177
03 27 10.1209,09 43 57.981,3.73,-0.082
01 51 27.6106,-10 20 05.803,3.74,1.136
16 21 55.2437,19 09 10.879,3.74,0.299
21 14 47.3466,38 02 39.554,3.74,0.393
17 47 53.5740,02 42 26.851,3.75,0.043
09 04 09.3205,-47 05 51.770,3.75,1.174
19 29 42.3393,51 43 46.083,3.76,0.148
06 28 49.0741,-07 01 58.982,3.76,-0.113
22 31 17.3758,50 16 56.819,3.76,0.031
19 04 40.9338,-21 44 28.876,3.76,1.012
05 51 19.1528,-20 52 39.050,3.76,0.984
05 33 37.5164,-62 29 23.481,3.76,0.64
05 38 44.7653,-02 36 00.244,3.77,-0.19
08 40 37.5753,-46 38 55.518,3.77,0.67
04 22 56.0273,17 32 33.303,3.77,0.983
20 39 38.2545,15 54 43.390,3.77,-0.057
21 26 40.0277,-22 24 40.962,3.77,1.002
16 49 47.1114,-59 02 28.739,3.77,1.562
22 07 00.4745,25 20 42.166,3.77,0.435
02 50 41.7928,55 53 43.906,3.77,1.69
03 45 11.6434,42 34 42.760,3.77,0.425
08 25 44.2462,-66 08 11.474,3.77,1.132
14 41 08.9204,13 43 41.992,3.78,0.044
20 47 40.5326,-09 29 44.484,3.78,0
09 50 59.6917,59 02 20.776,3.78,0.291
07 25 43.6761,27 47 53.828,3.78,1.024
07 08 44.8245,-70 29 57.100,3.78,1.006
10 53 29.5662,-58 51 11.753,3.78,0.945
11 18 11.2400,31 31 50.800,3.79,0.606
10 53 18.6399,34 12 56.039,3.79,1.04
03 09 29.6291,44 51 28.400,3.79,0.98
20 13 37.9027,46 44 28.767,3.8,1.27
19 17 06.1099,53 22 05.378,3.8,0.95
03 12 04.2800,-28 59 20.782,3.8,0.543
